,precision,recall,f1-score,support
blues,0.7412587412587412,0.7066666666666667,0.7235494880546075,150.0
classical,0.8023255813953488,0.92,0.8571428571428571,150.0
country,0.5253456221198156,0.76,0.6212534059945504,150.0
disco,0.6331360946745562,0.7133333333333334,0.670846394984326,150.0
hiphop,0.746031746031746,0.6308724832214765,0.6836363636363636,149.0
jazz,0.8067226890756303,0.64,0.7137546468401487,150.0
metal,0.795774647887324,0.7533333333333333,0.773972602739726,150.0
pop,0.6904761904761905,0.7733333333333333,0.7295597484276729,150.0
reggae,0.6732673267326733,0.4533333333333333,0.5418326693227091,150.0
rock,0.5,0.47333333333333333,0.4863013698630137,150.0
accuracy,0.6824549699799867,0.6824549699799867,0.6824549699799867,0.6824549699799867
macro avg,0.6914338639652026,0.6824205816554809,0.6801849547005976,1499.0
weighted avg,0.6913974410952449,0.6824549699799867,0.6801826522263241,1499.0
